City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Mogadishu,SO,2022-11-30 04:15:57,2.0371,45.3438,80.71,73,60,15.55
236,Sitka,US,2022-11-30 04:17:32,57.0531,-135.33,24.69,33,0,18.41
237,Dalkola,IN,2022-11-30 04:17:32,25.85,87.85,75.63,43,6,3.47
238,Patiya,BD,2022-11-30 04:17:33,22.2931,91.9762,83.48,67,2,2.77
239,Martapura,ID,2022-11-30 04:17:33,-3.4167,114.85,82.49,78,40,8.05
240,Oktyabrskoye,RU,2022-11-30 04:17:33,43.0645,44.7417,33.3,91,100,4.0
241,Marzuq,YE,2022-11-30 04:17:33,14.4,46.4667,64.51,42,0,1.16
242,Teguldet,RU,2022-11-30 04:17:34,57.3064,88.1667,-11.61,93,20,3.31
243,Awbari,LY,2022-11-30 04:13:08,26.5921,12.7805,49.19,51,0,5.59
244,Sola,VU,2022-11-30 04:17:34,-13.8833,167.55,82.98,72,71,8.88
245,Rocha,UY,2022-11-30 04:17:34,-34.4833,-54.3333,61.21,97,1,6.96
246,Patiala,IN,2022-11-30 04:17:34,30.3267,76.4003,66.16,44,0,2.44
247,Shimonoseki,JP,2022-11-30 04:17:35,33.95,130.95,53.64,54,75,17.27
248,Sampit,ID,2022-11-30 04:17:35,-2.5333,112.95,91.76,51,62,4.7
249,Faya,SA,2022-11-30 04:16:54,18.3851,42.4509,51.91,64,1,1.19
250,Kysyl-Syr,RU,2022-11-30 04:17:35,63.8986,122.7617,-26.86,98,100,4.68
251,Yumen,CN,2022-11-30 04:17:36,40.2833,97.2,7.61,66,94,4.32
252,Aklavik,CA,2022-11-30 04:17:36,68.2191,-135.0107,-11.36,85,100,3.62
253,Kodiak,US,2022-11-30 04:17:36,57.79,-152.4072,27.91,50,0,13.8
254,Carnarvon,AU,2022-11-30 04:15:28,-24.8667,113.6333,77.67,63,0,13.58
255,Monrovia,LR,2022-11-30 04:17:37,6.3005,-10.7969,74.97,82,37,1.39
256,Yellowknife,CA,2022-11-30 04:13:00,62.456,-114.3525,-25.47,97,92,3.74
257,Soligalich,RU,2022-11-30 04:17:37,59.0778,42.2864,8.28,97,36,1.92
258,Seka,TH,2022-11-30 04:17:37,17.9285,103.9552,89.51,53,18,3.22
259,Chokwe,MZ,2022-11-30 04:17:38,-24.5333,32.9833,67.28,74,2,4.74
260,Saint-Louis,SN,2022-11-30 04:17:38,16.3333,-15.0,73.04,17,4,8.97
261,Kashi,CN,2022-11-30 04:17:38,39.4547,75.9797,20.41,32,97,6.71
262,Comodoro Rivadavia,AR,2022-11-30 04:17:39,-45.8667,-67.5,44.46,65,0,3.44
263,Saldanha,ZA,2022-11-30 04:17:39,-33.0117,17.9442,61.74,95,42,5.06
264,Upernavik,GL,2022-11-30 04:17:39,72.7868,-56.1549,5.38,95,100,14.92
265,Podporozhye,RU,2022-11-30 04:17:40,60.9112,34.1706,16.9,94,94,3.24
266,Giyani,ZA,2022-11-30 04:17:40,-23.3025,30.7187,64.4,75,20,3.11
267,Changli,CN,2022-11-30 04:17:40,39.7042,119.1506,22.24,16,0,12.35
268,Vestmannaeyjar,IS,2022-11-30 04:17:40,63.4427,-20.2734,47.97,90,100,31.92
269,Necochea,AR,2022-11-30 04:17:41,-38.5473,-58.7368,61.59,95,87,12.28
